Config_ID,Hidden_Size,Num_Layers,Dropout,Batch_Size,Parameters,Best_Test_Loss,Final_Train_Loss,Overfitting_Gap,Training_Time_Min,Rank
65,896,6,0.1,320,545274,0.12592666170426778,0.09920780718326569,-0.02671885452100209,0.21646517515182495,1
75,896,8,0.1,320,553850,0.12788544542023114,0.1311926004290581,0.0033071550088269452,0.30383094946543376,2
10,384,7,0.1,320,112042,0.12808587402105331,0.14978943526744842,0.02170356124639511,0.22309537728627524,3
45,640,8,0.1,320,290778,0.12860405764409474,0.13525467813014985,0.006650620486055109,0.30235631465911866,4
69,896,7,0.1,256,549562,0.128893687389791,0.12009571958333254,-0.008797967806458473,0.26756137212117515,5
70,896,7,0.1,320,549562,0.1293470375239849,0.11494465529918671,-0.0144023822247982,0.2319894234339396,6
4,384,6,0.1,256,107754,0.13002499751746655,0.1506428017746657,0.020617804257199168,0.2439290205637614,7
52,768,7,0.1,128,407274,0.1306099754292518,0.15174152264519344,0.021131547215941654,0.5599624156951905,8
47,768,6,0.1,128,402986,0.132902258541435,0.12418606900979602,-0.008716189531638982,0.3820586562156677,9
54,768,7,0.1,256,407274,0.13543196488171816,0.12989088403992355,-0.00554108084179461,0.3398938298225403,10
18,512,6,0.1,192,182922,0.13559958643533968,0.1405991752232824,0.004999588787942738,0.35399438937505084,11
20,512,6,0.1,320,182922,0.1367348294172968,0.13839220643043518,0.001657377013138367,0.2400689999262492,12
62,896,6,0.1,128,545274,0.13716303510591388,0.1290061498681704,-0.008156885237743466,0.526948344707489,13
25,512,7,0.1,320,187210,0.13822905825717108,0.1479812729358673,0.00975221467869622,0.23579456011454264,14
63,896,6,0.1,192,545274,0.13872574269771576,0.12126754596829414,-0.017458196729421616,0.3769652764002482,15
17,512,6,0.1,128,182922,0.1391023313626647,0.1502816779982476,0.011179346635582899,0.43451757431030275,16
30,512,8,0.1,320,191498,0.13931769345487868,0.16739849746227264,0.02808080400739396,0.2434313972791036,17
15,384,8,0.1,320,116330,0.13964888559920446,0.17578762292861938,0.036138737329414916,0.27434264024098715,18
19,512,6,0.1,256,182922,0.13987949769943953,0.1594378873705864,0.01955838967114687,0.30433817704518634,19
64,896,6,0.1,256,545274,0.14086154662072659,0.11733408737927675,-0.023527459241449833,0.29925591945648194,20
39,640,7,0.1,256,286490,0.14110609982162714,0.1379078426398337,-0.0031982571817934513,0.2703176776568095,21
32,640,6,0.1,128,282202,0.14127173414453864,0.14070289924977317,-0.0005688348947654742,0.37879765033721924,22
43,640,8,0.1,192,290778,0.14132510057904504,0.15675788195360274,0.015432781374557697,0.3789442300796509,23
59,768,8,0.1,256,411562,0.1414165897294879,0.13524131500162184,-0.006175274727866054,0.3486833413441976,24
55,768,7,0.1,320,407274,0.141740120947361,0.1356503415107727,-0.006089779436588283,0.2882911443710327,25
38,640,7,0.1,192,286490,0.14176841960711914,0.15417819594343504,0.012409776336315903,0.3147782802581787,26
73,896,8,0.1,192,553850,0.14212041212753815,0.143782445362636,0.001662033235097865,0.37090759674708046,27
22,512,7,0.1,128,187210,0.14269312703981996,0.17802118604618405,0.0353280590063641,0.42183236678441366,28
33,640,6,0.1,192,282202,0.1432202918962999,0.14090253554639362,-0.0023177563499062748,0.31882988611857094,29
49,768,6,0.1,256,402986,0.1433582091704011,0.12554638274013996,-0.017811826430261135,0.24807711044947306,30
40,640,7,0.1,320,286490,0.1437525994011334,0.1423541548848152,-0.001398444516318209,0.23408998648325602,31
68,896,7,0.1,192,549562,0.14423045008019966,0.14666572497004554,0.0024352748898458787,0.313834281762441,32
44,640,8,0.1,256,290778,0.1449590502306819,0.1614045319147408,0.016445481684058905,0.35510274569193523,33
58,768,8,0.1,192,411562,0.14506109397519718,0.16223642159075963,0.017175327615562452,0.43636353810628253,34
3,384,6,0.1,192,107754,0.14566992155530237,0.1740235649049282,0.02835364334962584,0.28244980971018474,35
53,768,7,0.1,192,407274,0.14590120789679614,0.14325319620824994,-0.002648011688546198,0.40827155113220215,36
13,384,8,0.1,192,116330,0.1461821510033174,0.17384456949574606,0.027662418492428648,0.32745083173116046,37
42,640,8,0.1,128,290778,0.14643593272194266,0.17443487805033486,0.0279989453283922,0.44951552152633667,38
71,896,8,0.1,64,553850,0.14814458624459803,0.1727800444960594,0.02463545825146138,0.8090060035387675,39
